Category,OED Code,AIR code,Name,Description,Code Range,Broad Category
Occupancy,1000,300,Unknown,Unknown occupancy,1000,Unknown
Occupancy,1050,301,"Residential, General residential",General Residential is a composite of all other Residential Occupancies. You can select this occupancy class code if you have no specific information about the risk.,1050 - 1099,Residential
Occupancy,1051,302,"Residential, Permanent dwelling: single-family",Single-unit detached dwellings usually occupied by a single family.,1050 - 1099,Residential
Occupancy,1052,303,"Residential, Permanent dwelling: multi-family",Multiple-unit dwellings usually occupied by more than one family.,1050 - 1099,Residential
Occupancy,1053,304,"Residential, Temporary lodging","Commercial establishments known to the public as hotels, motels, motor hotels, or tourist courts primarily engaged in providing lodging or lodging and meals to the general public. This category includes hotels that are operated by organizations for members only. Also, establishments primarily engaged in renting, such as boarding houses, lodging houses, or rooming houses.",1050 - 1099,Residential
Occupancy,1054,305,"Residential, Group institutional housing","Residential units under institutional control. Examples include college dormitories, nursing homes, and retirement centers where medical care is incidental.",1050 - 1099,Residential
Occupancy,1055,306,"Residential, Apartment/Condo","Attached, multi-unit housing usually occupied by one family per unit.",1050 - 1099,Residential
Occupancy,1056,307,"Residential, Mid-Terraced Housing","Attached residential unit, not end of terrace (use separate occ code 1072). Also referred to as townhouses, row houses, row homes, or brownstones. Usually more than one story and built close to the street.",1050 - 1099,Residential
Occupancy,1057,N/A,"Residential, Renter","Site-built home, apartment, or condominium unit (excludes manufactured and mobile homes), on rent. (Usually coverage includes personal property, additional living expenses and liability, but does not include coverage for the structure itself).",1050-1099,Residential
Occupancy,1058,N/A,"Residential Apartment/Condo Asso, Common Areas","Common areas of the Apartment/ Condominium that is shared with all the other residents, like the roof, elevator, basement, courtyards or walkways, pools, common gym or event space, parks etc. ",1050-1099,Residential
Occupancy,1070,N/A,"Residential, detached house",Detached House Only,1070-1073,Residential
Occupancy,1071,N/A,"Residential, semi-detached house","Attached residential unit. Shares a single common party wall, commonly found in the UK/Ireland",1070-1073,Residential
Occupancy,1072,N/A,"Residential, end-terrace house",Attached residential unit. Used for end of row terracedhouses with additional end gable exposure to wind,1070-1073,Residential
Occupancy,1073,N/A,"Residential, bungalow","Detached residential unit. One story, often with dormer roof. For semi-detached and terraced bungalows, use those codes with single storey coding.",1070-1073,Residential
Occupancy,1100,311,"Commercial, General commercial",General Commercial is a composite of all other Commercial Occupancies. You can select this occupancy class code if you have no specific information about the risk.,1100 - 1149,Commercial
Occupancy,1101,312,"Commercial, Retail trade","Retail stores including those establishments that sell building materials and hardware, general merchandise, food, apparel and accessories, home furniture, furnishings and appliances, and prepared food and drinks. Includes automotive dealers, gasoline service stations, and motorcycle, boat, and recreational vehicle dealers. Includes other retail such as drug stores, liquor stores, bookstores, used merchandise, jewelry stores, and piece goods stores. Also includes non-store retailers and fuel dealers.",1100 - 1149,Commercial
Occupancy,1102,313,"Commercial, Wholesale trade","Includes wholesale distribution of durable goods including motor vehicles and parts, home furnishings, lumber and construction materials, professional and commercial equipment, metals and minerals, electrical goods, hardware, plumbing and heating equipment, machinery, equipment and supplies, and other miscellaneous durable goods. Also includes wholesale distribution of non-durable goods including paper and paper products, drugs, apparel, groceries, farm-product raw materials, chemicals, petroleum and petroleum related products, alcoholic beverages, and other miscellaneous non-durable goods.",1100 - 1149,Commercial
Occupancy,1103,314,"Commercial, Personal and repair services","Includes personal services such as laundry and dry cleaning services, beauty and barbershops, shoe repair shops, photographic studios, and funeral services, as well as automotive rental and leasing, automotive repair shops, and other automotive service including car washes and miscellaneous repair services.",1100 - 1149,Commercial
Occupancy,1104,315,"Commercial, Professional,  technical and business","Occupancies involved in the financial industry including depository institutions, non-depository credit institutions, security and commodity brokers, dealers and exchanges, insurance carriers, insurance agents and brokers, and real estate and other investment offices. Includes business services such as advertising agencies, consumer credit reporting agencies, mailing services, reproduction services, commercial art services, building cleaning and pest control services, equipment rental/leasing operations, employment agencies, computer programming, and computer rental/maintenance services. Also included in this occupancy class are legal services, engineering and architectural services, accounting services, research and development services, and management/public relations services. Executive offices, legislative bodies, and government offices are included in this occupancy class as are government establishments engaged in finance and taxation, in environmental quality and housing programs, and in the administration of economic programs including transportation, communications and utilities, agriculture, space and technology, national security and internal affairs, as well as government establishments engaged in human resource programs such as public health, veterans affairs, education, and social and human resources.",1100 - 1149,Commercial
Occupancy,1105,316,"Commercial, Health care services - General","Occupancies include medical, surgical, and other health services including clinics, laboratories and other health services. For hospitals, use 1106.",1100 - 1149,Commercial
Occupancy,1106,N/A,"Commercial, Hospital",,1100 - 1149,Commercial
Occupancy,1107,N/A,"Commercial, Nursing Home",,1100 - 1149,Commercial
Occupancy,1108,317,"Commercial, Entertainment and recreation - General","This occupancy class includes motion picture production and distribution facilities including motion picture theaters and video tape rental establishments, dance studios, theatrical production (other than motion picture), bowling centers, sports clubs, and physical fitness facilities, as well as art galleries, arboreta, and botanical and zoological gardens.",1100 - 1149,Commercial
Occupancy,1109,N/A,"Commercial, Amusement park",,1100 - 1149,Commercial
Occupancy,1110,N/A,"Commercial, Cinema, concert hall, theatre",,1100 - 1149,Commercial
Occupancy,1111,N/A,"Commercial, Stadium, arena",,1100 - 1149,Commercial
Occupancy,1112,N/A,"Commercial, Temporary exhibition facility or circus",,1100 - 1149,Commercial
Occupancy,1113,318,"Commercial, Parking",Automobile parking facilities.,1100 - 1149,Commercial
Occupancy,1114,319,"Commercial, Golf Courses",Golf courses and related buildings and facilities.,1100 - 1149,Commercial
Occupancy,1115,N/A,"Commercial, Hotel - Small & Medium",,1100 - 1149,Commercial
Occupancy,1116,N/A,"Commercial, Hotel - Large",,1100 - 1149,Commercial
Occupancy,1117,N/A,"Commercial, Casino",,1100 - 1149,Commercial
Occupancy,1118,N/A,"Commercial, Floating Casino",,1100 - 1149,Commercial
Occupancy,1119,331,"Commercial, Restaurant, café, bar, pub, club, tavern, discotheque","This occupancy includes restaurants, fast food centers, and cafés.",1100 - 1149,Commercial
Occupancy,1120,335,"Commercial, Gasoline Station","Retail establishments selling gasoline for use in motor vehicles, including associated retail stores and service bays.",1100 - 1149,Commercial
Occupancy,1121,336,"Commercial, Automotive repair services and carwash","Includes car washes and motor vehicle repair and service businesses that do not also sell gasoline. If the repair service is part of a gasoline station, with gasoline pumps under a canopy, use occupancy Commercial, Gasoline Station - 1120.",1100 - 1149,Commercial
Occupancy,1122,366,"Commercial,  Warehouse",Warehouse,1100 - 1149,Commercial
Occupancy,1123,371,"Commercial, Communication","Includes establishments furnishing point-to-point communications services, whether intended to be received aurally or visually, as well as radio and television broadcasting.",1100 - 1149,Commercial
Occupancy,1124,N/A,Commercial - Railway Buildings,,1100 - 1149,Commercial
Occupancy,1125,N/A,"Commercial, Banks","Occupancies involved in the financial industry. Including but not limiting to Retail Banks, Corporate or Commercial Banks, Investment Banks and Central Banks. These institutions may also give economic assistance such as: capital management, foreign exchange, Safe deposit boxes etc.",1100 - 1149,Commercial
Occupancy,1150,321,"Industrial, General industrial",General industrial is a composite of all other industrial occupancies. You can select this occupancy class code if you have no specific information about the risk.,1150 - 1199,Industrial
Occupancy,1151,322,"Industrial,  Heavy fabrication and assembly","Includes commercial fishing, hunting and trapping, operation of timber tracts, tree farms, forestry, nurseries and related activities, and establishments engaged in the cutting of timber and pulpwood. Includes the manufacture of furniture and other wood products, pulps from wood and other sources, tires and various other rubber and plastic products, glass products, cement, structural clay products, pottery, concrete and gypsum products, cut stone, and abrasive and asbestos products. Includes the manufacture of industrial and commercial machinery and equipment such as engines and turbines, farm and garden machinery, construction and mining equipment, metalworking machinery, special industry machinery, general industrial machinery, computer and office equipment, refrigeration machinery, and miscellaneous industrial machinery. Also includes the manufacture of motor vehicles, aircraft and aircraft parts, ship/boat building and repair, railroad equipment, motorcycles and bicycles, guided missiles, space vehicles, and transport equipment.",1150 - 1199,Industrial
Occupancy,1152,323,"Industrial, Light fabrication and assembly","Occupancies involved in the preparation and manufacture of yarn, thread, twine, and cordage, in the manufacture of fabrics, carpets, and rugs, and in the dyeing and finishing of fiber, yarn, and fabrics. Includes the manufacture of apparel, felt goods, lace goods, non-woven fabrics, miscellaneous textiles, and textile products. Includes the manufacture of household, office, and restaurant furniture, as well as office and store fixtures. Includes occupancies involved in the publishing and/or printing trade and in service industries related to the printing trade. This occupancy class also includes tanning, currying, and finishing of hides and skins, manufacturing of finished leather and artificial leather products, jewelry, musical instruments, dolls, and toys, as well as other miscellaneous manufacturing.",1150 - 1199,Industrial
Occupancy,1153,324,"Industrial, Food and drug processing","Includes food and beverage manufacturing and processing and the manufacturing of cigarettes, cigars, and chewing and smoking tobacco.",1150 - 1199,Industrial
Occupancy,1154,325,"Industrial, Chemical processing","Establishments involved in the manufacture of basic chemicals including acids, alkalis, salts, and organic chemicals, as well as chemical products that are to be used in further manufacturing including synthetic fibers, plastic materials, dry colors, and pigments. Includes the manufacture of finished products used for ultimate consumption including drugs, cosmetics, and soaps, as well as products used as supplies in other industries including paints, fertilizers, and explosives.",1150 - 1199,Industrial
Occupancy,1155,326,"Industrial, Metal and minerals processing","Includes the smelting and refining of metals, the manufacture of castings, other basic metal products, nails, spikes, insulated wire, and cable, the production of coke, the fabrication of metal products including metal cans, tin ware, hand tools, cutlery, and general hardware, and metal forging.",1150 - 1199,Industrial
Occupancy,1156,327,"Industrial, High technology","Includes occupancies involved in the manufacture of machinery and supplies for the generation, storage, transmission, transformation, and utilization of electrical energy including electricity distribution equipment, industrial apparatus, household appliances, electrical lighting, and wiring equipment. Includes manufacturing instruments for measuring, testing, analyzing, and controlling, optical instruments and lenses, surveying and drafting instruments, hydrological, meteorological, navigational, surgical, medical, ophthalmic, and photographic equipment. Also included are watches and clocks.",1150 - 1199,Industrial
Occupancy,1157,328,"Industrial, Construction","This occupancy includes general contractors and builders of residential, farm, industrial, commercial, and other buildings, as well as general contractors involved in heavy construction including highways, streets, bridges, tunnels, etc. Also included are special trade contractors including painting, electrical work, carpentry work, plumbing, heating, roofing, etc.",1150 - 1199,Industrial
Occupancy,1158,329,"Industrial, Petroleum","Establishments involved in petroleum refining, in the manufacture of paving and roofing materials, of compounding and lubricating oils and greases. Also includes the transportation of petroleum and other commodities, other than natural gas, through pipelines.",1150 - 1199,Industrial
Occupancy,1159,330,"Industrial, Mining","Includes mining and exploring for metallic and nonmetallic minerals, as well as the mining and preparation of coal. Includes the extraction of oil from sand and shale and the production of natural gasoline.",1150 - 1199,Industrial
Occupancy,1200,341,"Religion and Nonprofit, Religion and nonprofit","Includes organizations operating on a membership basis for the promotion of the interests of their members. Included are organizations such as trade associations, professional membership organizations, labor unions and similar labor organizations, and political and religious organizations.",1200 - 1249,Religion / Government / Education
Occupancy,1201,342,"Religion and Nonprofit,  Church","Establishments of religious organizations operated for worship, religious training or study, government or administration of an organized religion, or promotion of religious activities.",1200 - 1249,Religion / Government / Education
Occupancy,1210,343,"Government, General services","Includes offices of executives, legislative bodies, and general government offices, not elsewhere classified.",1200 - 1249,Religion / Government / Education
Occupancy,1211,N/A,"Government, Museum",,1200 - 1249,Religion / Government / Education
Occupancy,1212,N/A,"Government, Convention centre",,1200 - 1249,Religion / Government / Education
Occupancy,1213,N/A,"Government, Exhibition hall",,1200 - 1249,Religion / Government / Education
Occupancy,1214,N/A,"Government, Library",,1200 - 1249,Religion / Government / Education
Occupancy,1215,N/A,"Government, Prison / jail",,1200 - 1249,Religion / Government / Education
Occupancy,1220,344,"Government, Emergency services","Includes government establishments engaged in justice, public order, and safety.",1200 - 1249,Religion / Government / Education
Occupancy,1230,345,"Education, Universities,  colleges and technical schools","Establishments providing academic or technical instruction. Also included are establishments providing educational services such as libraries, student exchange programs, and curriculum development.",1200 - 1249,Religion / Government / Education
Occupancy,1231,346,"Education, Primary and secondary schools",Includes institutions engaged in instruction at primary and secondary level.,1200 - 1249,Religion / Government / Education
Occupancy,1250,351,"Transportation, Highway",Highways and transportation road networks.,1250-1299,Transportation
Occupancy,1251,352,"Transportation, Railroad",Railroad networks and rail tracks,1250-1299,Transportation
Occupancy,1252,353,"Transportation, Air","Establishments furnishing services incidental to transportation, such as forwarding and packing services, as well as the arrangement of passenger and freight transportation",1250-1299,Transportation
Occupancy,1253,354,"Transportation, Sea and inland waterways","Businesses engaged in freight and passenger transportation on the open seas or inland waters and establishments furnishing such incidental services as lighterage, towing, and canal operation. Also includes excursion and sightseeing boats and water taxis.",1250-1299,Transportation
Occupancy,1254,355,"Transportation, Aircraft Hangars",Aircraft parking facilities.,1250-1299,Transportation
Occupancy,1255,356,"Transportation,  Aircrafts at ramps or boarding gates",Aircraft at ramps or boarding gates.,1250-1299,Transportation
Occupancy,1256,N/A,"Transportation, General",Composite of all other Transportation Occupancies. You can select this occupancy class code if you have no specific information about the risk.,1250-1299,Transportation
Occupancy,1260,N/A,"Auto, General",To be used in conjuction with the relevant construction codes for Auto (5850 - 5875),1250-1299,Transportation
Occupancy,1300,361,"Utilities, Electrical","Establishments engaged in the generation, transmission, and/or distribution of electric energy for sale. Includes electric power generation, transmission, or distribution.",1300 - 1349,Utilities
Occupancy,1301,362,"Utilities, Water","Establishments primarily engaged in distributing water for sale for domestic, commercial, and industrial use.",1300 - 1349,Utilities
Occupancy,1302,363,"Utilities, Sanitary sewer","Establishments primarily engaged in the collection and disposal of wastes conducted through a sewer system, including such treatment processes as may be provided and establishments primarily engaged in the collection and disposal of refuse by processing or destruction or in the operation of incinerators, waste treatment plants, landfills, or other sites for disposal of such materials.",1300 - 1349,Utilities
Occupancy,1303,364,"Utilities, Natural gas",Establishments engaged in the transmission and distribution and/or storage of natural gas for sale.,1300 - 1349,Utilities
Occupancy,1304,365,"Utilities,  Telephone and telegraph","Establishments primarily engaged in providing paging and beeper services and those engaged in leasing telephone lines or other methods of telephone transmission, such as optical fiber lines and microwave or satellite facilities, as well as reselling the use of such methods to others.",1300 - 1349,Utilities
Occupancy,1305,N/A,"Utilities, General","Composite of all other Utility Occupancies (Utilities- Electrical, Utilities- Water, Utilities- Sanitary Sewer, Utilities- Natural Gas, Utilities- Telephone and Telegraph, Utilities- Radio and TV, Utilities- Flood Control). You can select this occupancy class code if you have no specific information about the risk.",1300-1349,Utilities
Occupancy,1350,372,Flood control,"Government establishments primarily engaged in regulation, planning, protection, and conservation of air and water resources, solid waste management, water and air pollution control and prevention, flood control, drainage development, consumption of water resources, as well as coordination of these activities at intergovernmental levels and research necessary for air pollution abatement and control and conservation of water resources.",1350 - 1399,Miscellaneous
