Category,OED Code,AIR code,Name,Description,Code Range,Broad Category
Occupancy,1351,373,Agriculture,"Establishments primarily engaged in performing soil preparation services, crop services, veterinary services, other animal services, farm labor and management services, and landscape and horticultural services for others on a contract or fee basis.",1350 - 1399,Miscellaneous
Occupancy,1352,374,Green House,"Includes establishments (e.g., farms, orchards, greenhouses, and nurseries) primarily engaged in the production of crops, plants, vines, and trees (excluding forestry operations). This major group also includes establishments primarily engaged in the operation of sod farms and cranberry bogs, in the production of mushrooms, bulbs, flower seeds, and vegetable seeds, and in the growing of hydroponic crops.",1350 - 1399,Miscellaneous
Occupancy,1353,375,"Forestry, General","Forestry, General",1350 - 1399,Miscellaneous
Occupancy,1360,N/A,"Agriculture, Crops","Agriculture, Crops",1350 - 1399,Miscellaneous
Occupancy,1370,N/A,"Agriculture, Livestock","Agriculture, Livestock",1350 - 1399,Miscellaneous
Occupancy,2000,400,"Industrial Facilities Model,  IFM: Unknown",Unknown industrial facility.,2000,IFM Unknown
Occupancy,2050,401,"Industrial Facilities Model, IFM: Heavy Fabrication and Assembly - General","Includes manufacturing and processing of automobiles, fabricated metals, machinery/equipment for industry, transportation equipment, pulp/paper and allied products, textile products, lumber and wood products, and stone/glass/clay/ceramics products.",2050 - 2099,IFM Heavy Fabrication
Occupancy,2051,402,"Industrial Facilities Model, IFM: Automotive Manufacturing",,2050 - 2099,IFM Heavy Fabrication
Occupancy,2052,403,"Industrial Facilities Model, IFM: Fabricated Metal Products",,2050 - 2099,IFM Heavy Fabrication
Occupancy,2053,404,"Industrial Facilities Model, IFM: Industrial and commercial machinery and equipment",,2050 - 2099,IFM Heavy Fabrication
Occupancy,2054,405,"Industrial Facilities Model, IFM: Transportation Equipment Assembly",,2050 - 2099,IFM Heavy Fabrication
Occupancy,2055,406,"Industrial Facilities Model,  IFM: Pulp/Paper and Allied Products Manufacturing",,2050 - 2099,IFM Heavy Fabrication
Occupancy,2056,407,"Industrial Facilities Model,  IFM: Textile Mill Product",,2050 - 2099,IFM Heavy Fabrication
Occupancy,2057,408,"Industrial Facilities Model, IFM: Lumber and wood products (excluding furniture)",,2050 - 2099,IFM Heavy Fabrication
Occupancy,2058,409,"Industrial Facilities Model, IFM: Stone/Clay/Glass/Ceramics products",,2050 - 2099,IFM Heavy Fabrication
Occupancy,2100,414,"Industrial Facilities Model, IFM: Light Fabrication and Assembly - General","Includes manufacturing and processing of furniture/fixtures, apparel, printing/publishing/allied products, rubber, miscellaneous products, leather/leather products, electronic/other electronic equipment (except computer equipment), measuring/controlling instruments, photographic/medical/optical goods, watches/clocks, tire manufacturers, and miscellaneous manufacturing industries.",2100 - 2149,IFM Light Fabrication
Occupancy,2101,415,"Industrial Facilities Model, IFM: Furniture and Fixtures",,2100 - 2149,IFM Light Fabrication
Occupancy,2102,416,"Industrial Facilities Model, IFM: Apparel and finished products from fabrics",,2100 - 2149,IFM Light Fabrication
Occupancy,2103,417,"Industrial Facilities Model, IFM: Print/Publishing and allied industry",,2100 - 2149,IFM Light Fabrication
Occupancy,2104,418,"Industrial Facilities Model,  IFM: Rubber and miscellaneous plastics products",,2100 - 2149,IFM Light Fabrication
Occupancy,2105,419,"Industrial Facilities Model, IFM: Leather and Leather products",,2100 - 2149,IFM Light Fabrication
Occupancy,2106,420,"Industrial Facilities Model, IFM: Electronic and other electrical equipment (except computer equipment)",,2100 - 2149,IFM Light Fabrication
Occupancy,2107,421,"Industrial Facilities Model, IFM: Measuring analyzing and controlling instruments",,2100 - 2149,IFM Light Fabrication
Occupancy,2108,422,"Industrial Facilities Model,  IFM: Photographic medical and optical goods",,2100 - 2149,IFM Light Fabrication
Occupancy,2109,423,"Industrial Facilities Model, IFM: Watches and clocks",,2100 - 2149,IFM Light Fabrication
Occupancy,2110,424,"Industrial Facilities Model, IFM: Miscellaneous Light Manufacturing Industries",,2100 - 2149,IFM Light Fabrication
Occupancy,2111,425,"Industrial Facilities Model, IFM: Tire manufacturers",,2100 - 2149,IFM Light Fabrication
Occupancy,2150,429,"Industrial Facilities Model, IFM: Food and Drug Processing- General","Includes food and beverage manufacturing and processing and the manufacturing of cigarettes, cigars, chewing tobacco, pharmaceuticals, biological products, wineries, and smoking tobacco.",2150 - 2199,IFM Instruments
Occupancy,2151,430,"Industrial Facilities Model, IFM: Food and kindred products",,2150 - 2199,IFM Instruments
Occupancy,2152,431,"Industrial Facilities Model, IFM: Tobacco products",,2150 - 2199,IFM Instruments
Occupancy,2153,432,"Industrial Facilities Model, IFM: Pharmaceutical plants",,2150 - 2199,IFM Instruments
Occupancy,2154,433,"Industrial Facilities Model, IFM: Biological Products(except diagnostic) - Medicinals/Botanical/Biomedical",,2150 - 2199,IFM Instruments
Occupancy,2155,434,"Industrial Facilities Model, IFM: Wineries",,2150 - 2199,IFM Instruments
Occupancy,2200,438,"Industrial Facilities Model, IFM: Chemical Processing - General","Establishments involved in the manufacture of basic chemicals including acids, alkalis, salts, and organic chemicals and of chemical products that are to be used in further manufacturing including synthetic fibers, plastic materials, dry colors, and pigments. Includes the manufacture of finished products used for ultimate consumption including drugs, cosmetics, and soaps, as well as products used as supplies in other industries including paints, fertilizers, and explosives.",2200 - 2249,IFM Chemical Processing
Occupancy,2201,439,"Industrial Facilities Model, IFM: Chlorine plants ",,2200 - 2249,IFM Chemical Processing
Occupancy,2202,440,"Industrial Facilities Model, IFM: Vinyl plants",,2200 - 2249,IFM Chemical Processing
Occupancy,2203,441,"Industrial Facilities Model, IFM: Light hydrocarbon or aromatics plants",,2200 - 2249,IFM Chemical Processing
Occupancy,2204,442,"Industrial Facilities Model, IFM: Plastics plants",,2200 - 2249,IFM Chemical Processing
Occupancy,2205,443,"Industrial Facilities Model, IFM: Chlorhydrin plants",,2200 - 2249,IFM Chemical Processing
Occupancy,2206,444,"Industrial Facilities Model, IFM: Fertilizer plants",,2200 - 2249,IFM Chemical Processing
Occupancy,2207,445,"Industrial Facilities Model, IFM: Cement plants/Cement Mills",,2200 - 2249,IFM Chemical Processing
Occupancy,2208,446,"Industrial Facilities Model, IFM: Other Chemical and Allied Products",,2200 - 2249,IFM Chemical Processing
Occupancy,2250,449,"Industrial Facilities Model, IFM: Metal and Minerals Processing- General","Includes the smelting and refining of metals, the manufacture of castings, other basic metal products, nails, spikes, insulated wire, and cable, the production of coke, the fabrication of metal products including metal cans, tin ware, hand tools, cutlery, and general hardware, and metal forging.",2250 - 2299,IFM Metal Processing
Occupancy,2251,450,"Industrial Facilities Model, IFM: Primary metal industry",,2250 - 2299,IFM Metal Processing
Occupancy,2252,451,"Industrial Facilities Model, IFM: Steel Mills",,2250 - 2299,IFM Metal Processing
Occupancy,2253,452,"Industrial Facilities Model, IFM: Smelters",,2250 - 2299,IFM Metal Processing
Occupancy,2300,455,"Industrial Facilities Model, IFM: High Technology - General","Includes occupancies involved in the manufacture of machinery and supplies for the generation, storage, transmission, transformation, and utilization of electrical energy including electricity distribution equipment, industrial apparatus, household appliances, electrical lighting, and wiring equipment. Includes manufacturing instruments for measuring, testing, analyzing, and controlling, optical instruments and lenses, surveying and drafting instruments, hydrological, meteorological, navigational, surgical, medical, ophthalmic, and photographic equipment, semi-conductor, computer/electronic devices, and allied products.",2300 - 2349,IFM High Technology
Occupancy,2301,456,"Industrial Facilities Model, IFM: Semi-conductor and related devices",,2300 - 2349,IFM High Technology
Occupancy,2302,457,"Industrial Facilities Model, IFM: Electronic computer devices",,2300 - 2349,IFM High Technology
Occupancy,2303,458,"Industrial Facilities Model, IFM: Computer storage devices",,2300 - 2349,IFM High Technology
Occupancy,2304,459,"Industrial Facilities Model, IFM: Electron tubes",,2300 - 2349,IFM High Technology
Occupancy,2305,460,"Industrial Facilities Model, IFM: Printed circuit boards",,2300 - 2349,IFM High Technology
Occupancy,2350,463,"Industrial Facilities Model, IFM: General building/ construction contractors","This occupancy includes general contractors and builders of residential, farm, industrial, commercial, and other buildings, as well as general contractors involved in heavy construction including highways, streets, bridges, tunnels, etc. Also included are special trade contractors including painting, electrical work, carpentry work, plumbing, heating, roofing, etc.",2350 - 2399,IFM Contractors
Occupancy,2351,464,"Industrial Facilities Model, IFM: Heavy Constructions",,2350 - 2399,IFM Contractors
Occupancy,2352,465,"Industrial Facilities Model, IFM: Special Trade Contractors",,2350 - 2399,IFM Contractors
Occupancy,2400,470,"Industrial Facilities Model, IFM: Mining - General","Includes mining and exploring for metallic and nonmetallic minerals, as well as mining and preparation of coal. Includes the extraction of oil from sand and shale and the production of natural gasoline.",2400 - 2449,IFM Mining
Occupancy,2401,471,"Industrial Facilities Model, IFM: Mining operations",,2400 - 2449,IFM Mining
Occupancy,2402,472,"Industrial Facilities Model, IFM: Metal mining",,2400 - 2449,IFM Mining
Occupancy,2403,473,"Industrial Facilities Model, IFM: Coal mining",,2400 - 2449,IFM Mining
Occupancy,2404,474,"Industrial Facilities Model, IFM: Mining /Quarrying - Non-metallic mineral (except fuels)",,2400 - 2449,IFM Mining
Occupancy,2450,475,"Industrial Facilities Model, IFM: Oil Refinery Systems - General","An oil refinery is an industrial process plant where crude oil is processed and refined into more useful petroleum products, such as gasoline, diesel fuel, asphalt base, heating oil, kerosene, and liquefied petroleum gas. Oil refineries are typically large sprawling industrial complexes with extensive piping running throughout, carrying streams of fluids between large chemical processing units. Includes establishments involved in petroleum refining, in the manufacture of paving and roofing materials, of compounding and lubricating oils and greases. Also includes the transportation of petroleum and other commodities, other than natural gas, through pipelines.",2450 - 2499,IFM Oil Refinery
Occupancy,2460,N/A,"Industrial Facilities Model, IFM: Oil Production Systems - General",,2450 - 2499,IFM Oil Refinery
Occupancy,2461,N/A,"Industrial Facilities Model, IFM: Oil Production Systems - Oil field wells",Oil fields (wells) ,2450 - 2499,IFM Oil Refinery
Occupancy,2470,N/A,"Industrial Facilities Model, IFM: Oil Transmission Systems - General","Oil transportation/ transmission; contains assets such as trunk pipelines, pumping plants, and tank farms (these can be coded specifically by using existing OED construction codes)",2450 - 2499,IFM Oil Refinery
Occupancy,2500,476,"Industrial Facilities Model, IFM: Hydro-Electric Power Systems- General","Establishments engaged in the generation, transmission, and/or distribution of electric energy for sale. Includes electric power generation, transmission, dams, or distribution.",2500-2549,IFM Electric
Occupancy,2505,N/A,"Industrial Facilities Model, IFM: Geothermal Power Systems- General",Geothermal Power Plants,2500-2549,IFM Electric
Occupancy,2510,477,"Industrial Facilities Model, IFM: Thermo-Electric Power Systems- General","Establishments engaged in the generation, transmission, and/or distribution of electric energy for sale. Includes electric power generation, transmission, or distribution.",2500-2549,IFM Electric
Occupancy,2515,N/A,"Industrial Facilities Model, IFM: Tidal Power Systems- General",Tidal Power Plants,2500-2549,IFM Electric
Occupancy,2520,478,"Industrial Facilities Model, IFM: Nuclear Power Systems All- General",,2500-2549,IFM Electric
Occupancy,2521,N/A,"Industrial Facilities Model, IFM: other Nuclear Facilities","Other nuclear facilities (e.g. uranium mining and enrichment, nuclear fuel fabrication, nuclear waste, nuclear medicine, nuclear weapons, nuclear machine building, nuclear plant engineering and construction, nuclear services and maintenance, nuclear R&D, military nuclear production, etc)",2500-2549,IFM Electric
Occupancy,2530,479,"Industrial Facilities Model, IFM: Electric Substation - General","Substations generally contain one or more transformers and have switching, protection, and control equipment. Circuit breakers are used to interrupt any short-circuits or overload currents that may occur on the network. Substations here do not have generators, although a power plant may have a substation nearby. A typical substation will contain line termination structures, high-voltage switch gear, power transformers, switch gear, surge protection, controls, grounding (earthing) system, lightning arrester, and metering. Other devices such as power factor correction capacitors and voltage regulators may also be located at a substation.",2500-2549,IFM Electric
Occupancy,2531,N/A,"Industrial Facilities Model, IFM: Electric Transmission Lines - General",Transmission lines,2500-2549,IFM Electric
Occupancy,2541,N/A,"Industrial Facilities Model, IFM: Solar panel plant",,2500-2549,IFM Electric
Occupancy,2542,N/A,"Industrial Facilities Model, IFM: Wind plant",,2500-2549,IFM Electric
Occupancy,2543,N/A,"Industrial Facilities Model, IFM: Biomass plant",,2500-2549,IFM Electric
Occupancy,2550,480,"Industrial Facilities Model, IFM: Potable water Systems- General","Establishments primarily engaged in distributing water for sale for domestic, commercial, and industrial use.",2550 - 2599,IFM Water
Occupancy,2560,481,"Industrial Facilities Model, IFM: Waste water treatment Systems- General","Establishments primarily engaged in the collection and disposal of wastes conducted through a sewer system, including such treatment processes as may be provided and establishments primarily engaged in the collection and disposal of refuse by processing or destruction or in the operation of incinerators, waste treatment plants, landfills, or other sites for disposal of such materials.",2550 - 2599,IFM Water
Occupancy,2600,482,"Industrial Facilities Model, IFM: Gas Processing Systems - General",Establishments engaged in the transmission and distribution and/or storage of natural gas for sale.,2600 - 2649,IFM Gas Processing
Occupancy,2610,N/A,"Industrial Facilities Model, IFM: Gas Production Systems - General",,2600 - 2649,IFM Gas Processing
Occupancy,2611,N/A,"Industrial Facilities Model, IFM: Gas Production Systems - Gas field wells",Gas fields (wells),2600 - 2649,IFM Gas Processing
Occupancy,2612,N/A,"Industrial Facilities Model, IFM: Gas Production Systems - Gas Processing Plant",Gas Processing Plant,2600 - 2649,IFM Gas Processing
Occupancy,2613,N/A,"Industrial Facilities Model, IFM: Gas Production Systems -Underground gas storage facilities",Underground gas storage facilities,2600 - 2649,IFM Gas Processing
Occupancy,2620,N/A,"Industrial Facilities Model, IFM: Gas Transmission Systems - General","Gas transportation/ transmission; contains assets such as trunk pipelines, pumping plants, and tank farms (these can be coded specifically by using existing OED construction codes)",2600 - 2649,IFM Gas Processing
Occupancy,2650,483,"Industrial Facilities Model, IFM Communication Systems -General",,2650 - 2699,IFM Communications
Occupancy,2651,N/A,"Industrial Facilities Model, IFM: Transmission Systems - Other/Unknown","Miscellaneous transportation/transmission; contains assets such as trunk pipelines, pumping plants, and tank farms (these can be coded specifically by using existing OED construction codes). Oil, gas and water transmission can be specified using available occupancy codes.",2650 - 2699,IFM Communications
Occupancy,2700,484,Agriculture Systems - General,,2700 - 2749,IFM Agriculture
Occupancy,2750,485,"Industrial Facilities Model, IFM: Bus Systems - General",,2750 - 2799,IFM transportation
Occupancy,2760,486,"Industrial Facilities Model, IFM: Port Systems",,2750 - 2799,IFM transportation
Occupancy,2770,487,"Industrial Facilities Model, IFM: Ferry Systems",,2750 - 2799,IFM transportation
Occupancy,2780,488,"Industrial Facilities Model, IFM: Airport Systems - General",,2750 - 2799,IFM transportation
Occupancy,3000,900,"Offshore, Unknown",The offshore platform occupancy is unknown.,3000,Offshore unknown
Occupancy,3001,901,"Offshore, Oil production only",Offshore platforms that produce oil only.,3001 - 3999,Offshore
Occupancy,3002,902,"Offshore, Gas production only",Offshore platforms that produce gas only.,3001 - 3999,Offshore
Occupancy,3003,903,"Offshore, No production",Offshore platforms that do not produce oil or gas.,3001 - 3999,Offshore
Occupancy,3004,904,"Offshore, Oil and gas production",Offshore platforms that produce oil and gas.,3001 - 3999,Offshore
Occupancy,3005,905,"Offshore, Drilling",Platforms used for drilling.,3001 - 3999,Offshore
Occupancy,3006,906,"Offshore, Workover","Platforms that repair or stimulate existing production wells for the purpose of restoring, prolonging, or enhancing the production of hydrocarbons.",3001 - 3999,Offshore
Occupancy,3007,907,"Offshore, Ready stacked",Rigs that are not under contract but generally are ready for service.,3001 - 3999,Offshore
Occupancy,3008,908,"Offshore, Waiting on location",Waiting on location.,3001 - 3999,Offshore
Occupancy,3009,909,"Offshore, Pipelines",Pipelines,3001 - 3999,Offshore
Occupancy,3010,N/A,"Barge, support vessel, seismic vessel",,3001 - 3999,Offshore
Occupancy,3011,N/A,"Buoy (single point mooring - SPM, catenary anchor leg mooring - CALM)",,3001 - 3999,Offshore
Occupancy,3012,N/A,Crane barge or pipelay vessel,,3001 - 3999,Offshore
Occupancy,3013,N/A,Drill ship,,3001 - 3999,Offshore
Occupancy,3014,N/A,"Floating liquefied natural gas (LNG), gas to liquid (GTL) vessel",,3001 - 3999,Offshore
Occupancy,3015,N/A,"Floating, production, storage and off-loading vessel (FPSO)",,3001 - 3999,Offshore
Occupancy,3016,N/A,"Floating, storage and off-loading vessel (FSO)",,3001 - 3999,Offshore
Occupancy,3017,N/A,Offshore complex (bridge linked fixed steel structures),,3001 - 3999,Offshore
Occupancy,3018,N/A,Offshore concrete gravity based structure,,3001 - 3999,Offshore
Occupancy,3019,N/A,Offshore fixed steel structure,,3001 - 3999,Offshore
Occupancy,3020,N/A,Other floating production systems,,3001 - 3999,Offshore
Occupancy,3021,N/A,Self elevating jack-up with independent legs,,3001 - 3999,Offshore
Occupancy,3022,N/A,Self elevating jack-up with mat base,,3001 - 3999,Offshore
Occupancy,3023,N/A,Semi submersible drilling rig,,3001 - 3999,Offshore
Occupancy,3024,N/A,Semi submersible production platform,,3001 - 3999,Offshore
Occupancy,3025,N/A,Spar or tension leg platform,,3001 - 3999,Offshore
Occupancy,3026,N/A,Subsea equipment: deep (> 200m and <= 1500m),,3001 - 3999,Offshore
Occupancy,3027,N/A,Subsea equipment: shallow (< 200 m),,3001 - 3999,Offshore
Occupancy,3028,N/A,Subsea equipment: ultra deep ( > 1500m),,3001 - 3999,Offshore
Occupancy,3029,N/A,Offshore pipeline: deep (> 200m and <= 1500m),,3001 - 3999,Offshore
Occupancy,3030,N/A,Offshore pipeline: shallow (<= 200m),,3001 - 3999,Offshore
Occupancy,3031,N/A,Offshore pipeline: ultra deep ( > 1500m),,3001 - 3999,Offshore
Occupancy,3032,N/A,Offshore renewables - general,,3001 - 3999,Offshore
Occupancy,3033,N/A,Offshore Wind,"All assest associated with offshore wind. Use Construction codes to differentiate between turbines, cables and substations (both offshore and onshore substations)",3001 - 3999,Offshore
Occupancy,3034,N/A,Offshore Tidal,All assets associated with offshore tidal energy,3001 - 3999,Offshore
Occupancy,3035,N/A,Offshore Ocean Wave,All assets associated with offshore ocean wave energy,3001 - 3999,Offshore
Occupancy,3036,N/A,Floating Solar PV,All assets associated with floating solar PV,3001 - 3999,Offshore
